Ticker,Stock Price,Market Capitalization,Number of Shares to Buy
FLIR,60.13,7842285949,N/A
FLS,26.21,3441631845,N/A
FLT,181.34,13504257988,N/A
FMC,112.57,14209804223,N/A
FOX,29.42,17019351785,N/A
FOXA,32.23,17297467673,N/A
FRC,143.2,24837653661,N/A
FRT,94.06,7453088000,N/A
FTI,9.56,4357437469,N/A
FTNT,53.69,41867505026,N/A
FTV,61.86,21924931301,N/A
GD,228.98,62318754283,N/A
GE,66.73,72536184117,N/A
GILD,64.66,83824858632,N/A
GIS,78.36,44774659087,N/A
GL,106.07,10739453940,N/A
GLW,30.83,25953781773,N/A
GM,35.11,51407122668,N/A
GOOG,102.83,1206602743090,N/A
GOOGL,98.79,1215082160039,N/A
GPC,155.65,22307230614,N/A
GPN,114.86,31998159318,N/A
GPS,9.88,3564516930,N/A
GRMN,79.9,15721343976,N/A
GS,303.91,105254786739,N/A
GWW,518.74,26563362513,N/A
HAL,30.92,27960037734,N/A
HAS,69.58,9803089703,N/A
HBAN,13.39,19070280013,N/A
HBI,7.42,2587044520,N/A
HCA,205.47,58634478579,N/A
HD,292.31,297066393733,N/A
HES,133.8,40865837995,N/A
HIG,64.18,21419657961,N/A
HII,241.91,9446302884,N/A
HLT,125.39,33470599316,N/A
HOLX,63.91,16517650475,N/A
HON,176.95,115900231025,N/A
HPE,12.5,16622911614,N/A
HPQ,25.51,25941308434,N/A
HRB,39.87,6242437840,N/A
HRL,44.75,24765602862,N/A
HSIC,70.24,9647367256,N/A
HST,16.5,11792429112,N/A
HSY,221.21,32425825547,N/A
HUM,523.92,65338369806,N/A
HWM,33.13,13526095957,N/A
IBM,119.9,109359433971,N/A
ICE,94.27,52143080853,N/A
IDXX,338.29,28639740120,N/A
IEX,205.15,15395305938,N/A
IFF,88.7,22975413759,N/A
ILMN,210.76,33261779462,N/A
INCY,70.11,15360528524,N/A
INFO,112.43,47884516868,N/A
INTC,26.79,108077063590,N/A
INTU,394.74,111469136376,N/A
IP,32.63,11501767711,N/A
IPG,26.52,10384735127,N/A
IPGP,89.35,4409935767,N/A
IQV,185.98,34755164444,N/A
IR,46.29,18607023439,N/A
IRM,47.68,13507104807,N/A
ISRG,189.29,69964381670,N/A
IT,298.59,23776419926,N/A
ITW,189.96,59996239252,N/A
IVZ,14.8,6680773078,N/A
J,116.07,0,N/A
JBHT,166.68,16737755794,N/A
JCI,52.19,35354567385,N/A
JKHY,188.48,13627058749,N/A
JNJ,160.5,421659380605,N/A
JNPR,26.83,8627599138,N/A
JPM,105.99,312612340267,N/A
K,70.62,23933329135,N/A
KEY,16.26,15259833490,N/A
KEYS,166.28,28918046312,N/A
KHC,34.68,41516931206,N/A
KIM,18.95,11832193660,N/A
KLAC,323.93,46380726959,N/A
KMB,113.98,37565126477,N/A
KMI,17.77,40181564958,N/A
KMX,63.5,9930026862,N/A
KO,54.79,238708932784,N/A
KR,43.0,31204786039,N/A
KSS,27.95,3219651272,N/A
KSU,295.91,27833896524,N/A
L,51.6,12597208434,N/A
LB,83.26,22752987908,N/A
LDOS,91.45,12782548566,N/A
LEG,34.33,4635546291,N/A
LEN,81.59,22247567622,N/A
LH,206.2,19379720846,N/A
LHX,230.72,43513158869,N/A
LIN,283.1,140735871768,N/A
LKQ,50.49,13663630172,N/A
LLY,327.42,311714679273,N/A
LMT,407.08,112390539927,N/A
LNC,48.4,8261167798,N/A
LNT,51.14,12911987917,N/A
LOW,204.7,122728968960,N/A
LRCX,384.33,52706233187,N/A
LUV,33.4,19703014596,N/A
LVS,42.9,33708170820,N/A
LW,85.76,12113645584,N/A
LYB,79.84,25821676645,N/A
LYV,81.83,18556659959,N/A
MA,304.13,295331095490,N/A
MAA,151.29,17244416580,N/A
MAR,142.1,46862502551,N/A
MAS,49.13,11143665413,N/A
MCD,236.3,176622629218,N/A
MCHP,66.73,35689781676,N/A
MCK,361.45,52316525765,N/A
MCO,253.35,47112458541,N/A
MDLZ,56.11,76088833464,N/A
MDT,85.31,112346309677,N/A
MET,66.19,53359072201,N/A
MGM,32.73,13248375691,N/A
MHK,97.57,6295415473,N/A
MKC,74.05,20077901199,N/A
MKTX,236.53,9261430504,N/A
MLM,326.22,20793654146,N/A
MMC,152.93,78003702499,N/A
MMM,108.58,62462155165,N/A
MNST,92.05,49524946519,N/A
MO,43.49,80494265803,N/A
MOS,51.28,19031657065,N/A
MPC,111.25,53520137302,N/A
MRK,89.6,230336056848,N/A
MRO,28.47,19796356162,N/A
MS,80.23,137081583064,N/A
MSCI,431.31,33918537623,N/A
MSFT,235.95,1826520067618,N/A
MSI,230.89,40299044550,N/A
MTB,187.23,33185724688,N/A
MTD,1162.26,27025985630,N/A
MU,54.53,60375171664,N/A
MXIM,106.44,28223810613,N/A
MYL,16.641,8805390051,N/A
NBL,8.64,4226255737,N/A
NCLH,13.5,5450176103,N/A
NDAQ,58.06,29702603863,N/A
NEE,78.28,154668330646,N/A
NEM,43.3,35061543043,N/A
NFLX,225.8,103495433152,N/A
NI,25.31,10413606657,N/A
NKE,87.31,114359264718,N/A
NLOK,21.16,12305527331,N/A
NLSN,29.16,10374655645,N/A
NOC,515.94,79534611520,N/A
NOV,18.98,7295096770,N/A
NOW,412.73,83809587656,N/A
NRG,41.83,10096411643,N/A
NSC,222.96,51502380149,N/A
NTAP,68.09,14774227637,N/A
NTRS,88.7,18017656029,N/A
NUE,117.4,31353452291,N/A
NVDA,124.46,303532001461,N/A
NVR,4387.49,14123565505,N/A
NWL,14.06,5946407104,N/A
NWS,16.19,9118882957,N/A
NWSA,15.89,9219670431,N/A
O,59.2,35539973653,N/A
ODFL,271.63,30452481355,N/A
OKE,56.61,24653961127,N/A
OMC,67.18,13933415224,N/A
ORCL,65.2,170651371525,N/A
ORLY,713.57,45799024594,N/A
OTIS,68.22,27934391656,N/A
OXY,71.2,67081410893,N/A
PAYC,353.3,21215597024,N/A
PAYX,113.78,40851261645,N/A
PBCT,19.57,8768204698,N/A
PCAR,89.09,31756435422,N/A
PEAK,22.1,12027728855,N/A
PEG,57.4,28860788494,N/A
PEP,164.88,223616398346,N/A
PFE,43.51,241976550044,N/A
PFG,77.83,19388560640,N/A
PG,127.75,309425642361,N/A
PGR,124.86,73587219141,N/A
PH,254.3,33337132118,N/A
PHM,41.69,9712018551,N/A
PKG,118.39,10945535676,N/A
PKI,125.0,15758055837,N/A
PLD,104.71,75432538274,N/A
PM,88.29,132689587275,N/A
PNC,157.02,62253869986,N/A
PNR,42.53,6814647927,N/A
PNW,62.55,7190759611,N/A
PPG,119.1,28125392607,N/A
PPL,24.84,18559945006,N/A
PRGO,39.15,5280269603,N/A
PRU,94.67,35469043911,N/A
PSA,294.27,49980166040,N/A
PSX,93.6,45367283377,N/A
PVH,48.89,3252236972,N/A
PWR,129.15,18651083948,N/A
PXD,261.5,62845483251,N/A
PYPL,90.41,104838295604,N/A
QCOM,125.59,139564418685,N/A
QRVO,83.16,8477529684,N/A
RCL,45.7,11629104998,N/A
RE,265.6,10636506064,N/A
REG,55.94,9457493823,N/A
REGN,732.08,79010523996,N/A
RF,21.0,19183273095,N/A
RHI,78.9,8801416087,N/A
RJF,111.22,23841796298,N/A
RL,94.21,4180785086,N/A
RMD,233.23,32959233831,N/A
ROK,225.55,26963614881,N/A
ROL,36.92,18597837391,N/A
ROP,381.18,39190791009,N/A
ROST,90.38,31467592529,N/A
RSG,132.07,41683813040,N/A
RTX,87.76,127737740505,N/A
SBAC,268.9,28467948462,N/A
SBUX,89.52,103788541675,N/A
SCHW,77.67,139315348851,N/A
SEE,45.55,6520873404,N/A
SHW,215.2,55829784934,N/A
SIVB,346.53,20304952253,N/A
SJM,140.61,14666577304,N/A
SLB,43.04,62765933354,N/A
SLG,39.16,2581130336,N/A
SNA,218.96,11696406392,N/A
SNPS,315.76,47076678581,N/A
SO,67.11,70203030689,N/A
SPG,94.41,31292037731,N/A
SPGI,313.55,101562985306,N/A
SRE,153.75,46521488622,N/A
STE,174.14,17561823848,N/A
STT,63.08,22894780765,N/A
STX,55.4,11557044807,N/A
STZ,225.0,43786802626,N/A
SWK,81.02,11850147017,N/A
SWKS,91.1,14622821827,N/A
SYF,31.2,15192391580,N/A
SYK,211.11,82468091169,N/A
SYY,74.07,36724810791,N/A
T,15.61,107653684799,N/A
TAP,47.05,10036732042,N/A
TDG,547.77,29366694319,N/A
TDY,342.42,16184841119,N/A
TEL,117.04,36859798268,N/A
TFC,44.0,60111301444,N/A
TFX,198.13,9182742243,N/A
TGT,156.33,71457905380,N/A
TIF,137.78,16483353882,N/A
TJX,66.85,77280313972,N/A
TMO,526.66,213536174288,N/A
TMUS,141.02,176534020455,N/A
TPR,33.02,7883107066,N/A
TROW,110.9,24148968003,N/A
TRV,160.74,38590545721,N/A
TSCO,201.56,21786813501,N/A
TSN,66.09,19132440490,N/A
TT,147.13,35421303890,N/A
TTWO,123.39,21071527731,N/A
TWTR,50.27,38811025482,N/A
TXN,166.99,150131389175,N/A
TXT,64.0,12993474635,N/A
TYL,366.97,15198745348,N/A
UA,6.34,2827649760,N/A
UAA,7.24,2820320514,N/A
UAL,35.08,11479189718,N/A
UDR,38.89,12415182350,N/A
UHS,94.62,6177727750,N/A
ULTA,393.08,19997390769,N/A
UNH,509.12,493812963927,N/A
UNM,42.68,8365916635,N/A
UNP,203.16,125748719618,N/A
UPS,165.78,116135779816,N/A
URI,288.49,20386696280,N/A
USB,41.5,60462511802,N/A
V,193.0,303287845263,N/A
VAR,177.63,16400129931,N/A
VFC,29.36,11440863001,N/A
VLO,117.24,46974073959,N/A
VMC,162.65,21267841136,N/A
VNO,21.66,4162848912,N/A
VRSK,177.88,27710654034,N/A
VRSN,183.4,19680043605,N/A
VRTX,298.18,76292728381,N/A
VTR,38.01,15319214905,N/A
VZ,38.08,156754337086,N/A
WAB,88.68,16133148498,N/A
WAT,276.6,17219971080,N/A
WBA,32.0,27603174423,N/A
WDC,36.3,11831150301,N/A
WEC,89.15,27666039255,N/A
WELL,60.7,27534449407,N/A
WFC,43.13,163462385852,N/A
WHR,145.13,7758755662,N/A
WM,161.83,66646277570,N/A
WMB,30.85,36964103014,N/A
WMT,130.46,364718037330,N/A
WRB,66.95,18639384821,N/A
WRK,32.5,8253163491,N/A
WST,256.54,18567704027,N/A
WU,13.81,5337562553,N/A
WY,29.59,21449561716,N/A
WYNN,74.59,8531880008,N/A
XEL,60.85,33120250044,N/A
XLNX,202.87,48581976796,N/A
XOM,101.83,439066584546,N/A
XRAY,29.78,6297590316,N/A
XRX,14.55,2304513712,N/A
XYL,91.78,16130413364,N/A
YUM,114.18,31454522358,N/A
ZBH,109.79,23798016407,N/A
ZBRA,276.68,13876438777,N/A
ZION,52.14,7911555623,N/A
ZTS,149.56,71439780876,N/A
